Prict No.,Institution,Subject Name/ ID,Sex,Developmental Stage,Region,Subpubic Angle,
975,Tennoji Zoo,Noname (GAIN 0742),M,Infant,Pelvis,,
660,"Primate Research Institute, Kyoto University",9802,M,Adult,Pelvis,,
452,"Primate Research Institute, Kyoto University",9457,M,Adult,Pelvis,,
347,"Primate Research Institute, Kyoto University",9266,M,Adult,Leg,,
Morphosource,Yale Peabody Museum of Naturual HIstory,MAM number 15939,M,Adult,Full Body,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/15228
34,Kyoto City Zoo,"Yoko, GAIN 329",F,Adult,Trunk,,
611,"Primate Research Institute, Kyoto University",9783,F,Adult,All,,
496,Tobe Zoological Park,"Sakura, GAIN 64",F,Adult,Pelvis,,
845,"Primate Research Institute, Kyoto University",10048,F,Adult,Pelvis,,
1498,Izu Shaboten Zoo,KOKO (GAIN 140),F,Adult,All,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,a,,,,